0	0	138	5	District 0	Hotel 0	2016-03-04 11:09:26.346462
1	1	872	4	District 1	Hotel 1	2016-03-04 11:09:26.346498
2	2	362	3	District 2	Hotel 2	2016-03-04 11:09:26.346512
3	3	508	3	District 3	Hotel 3	2016-03-04 11:09:26.346528
4	4	801	4	District 4	Hotel 4	2016-03-04 11:09:26.346552
5	5	70	5	District 5	Hotel 5	2016-03-04 11:09:26.346591
6	6	269	4	District 6	Hotel 6	2016-03-04 11:09:26.346619
7	7	896	3	District 7	Hotel 7	2016-03-04 11:09:26.346642
8	8	643	4	District 8	Hotel 8	2016-03-04 11:09:26.346658
9	9	521	3	District 9	Hotel 9	2016-03-04 11:09:26.346671
